J4_KK5,J1_KK2,MKK,MKK_P,MKK_TOT
1.0,1.0,115.09364049777288,165.7151296488449,300.0
1.3900000000000001,1.0,124.7021020686874,156.10333347062624,300.0
1.78,1.0,134.09896061100332,146.70338159025695,300.0
2.17,1.0,143.08211392435175,137.71734834857043,300.0
2.56,1.0,151.51337746566088,129.28339016031674,300.0
2.95,1.0,159.31907505561335,121.47515700514118,300.0
3.34,1.0,166.47805201987333,114.3137805396728,300.0
3.73,1.0,173.00560576703214,107.78394390671114,300.0
4.12,1.0,178.93888799484105,101.84847935597489,300.0
4.51,1.0,184.32593671710276,96.45933577842092,300.0
4.9,1.0,189.21839447604373,91.5648599847938,300.0
5.29,1.0,193.6671338681536,87.11417070166789,300.0
5.68,1.0,197.7198949911994,83.05952071675262,300.0
6.07,1.0,201.42020190255866,79.35738009033619,300.0
6.46,1.0,204.8070392444536,75.96875926963136,300.0
6.8500000000000005,1.0,207.914950759908,72.85911037050049,300.0
7.24,1.0,210.77435106081435,69.99801525293373,300.0
7.63,1.0,213.41192764189717,67.35878338630849,300.0
8.02,1.0,215.8510638869457,64.9180287495458,300.0
8.41,1.0,218.11224636164212,62.655262465454726,300.0
8.8,1.0,220.2134388027974,60.55251875439718,300.0
9.19,1.0,222.1704160876777,58.594020919938785,300.0
9.58,1.0,223.99705740135263,56.76588814567111,300.0
9.97,1.0,225.70560085470973,55.0558808484893,300.0
10.36,1.0,227.30686317681003,53.453180963024124,300.0
10.75,1.0,228.8104285494721,51.94820308814866,300.0
11.14,1.0,230.22481060248563,50.53243247624106,300.0
11.530000000000001,1.0,231.55759129519402,49.19828613874522,300.0
11.92,1.0,232.81554001629215,47.93899373565737,300.0
12.31,1.0,234.00471581602133,46.74849533432871,300.0
12.700000000000001,1.0,235.13055528394057,45.621353524076596,300.0
13.09,1.0,236.19794822015277,44.55267773847293,300.0
13.48,1.0,237.21130292501337,43.538058960077635,300.0
13.870000000000001,1.0,238.17460265265737,42.573513262116066,300.0
14.26,1.0,239.09145453434928,41.655432880972704,300.0
14.65,1.0,239.96513207448788,40.780543716557744,300.0
15.040000000000001,1.0,240.79861215062198,39.94586832911297,300.0
15.43,1.0,241.5946086005098,39.14869234902496,300.0
15.82,1.0,242.3555951114262,38.38654158635937,300.0
16.21,1.0,243.08383831512634,37.65714893196153,300.00000000000006
16.6,1.0,243.78141378960973,36.95843835335671,300.0
16.990000000000002,1.0,244.45022674034823,36.288504215927894,300.0
17.38,1.0,245.09202892350876,35.64559435182042,300.0
17.77,1.0,245.7084336234638,35.02809508535942,300.0
18.16,1.0,246.30092893499406,34.434517950229434,300.0
18.55,1.0,246.87088955654855,33.863487889639195,300.0
18.94,1.0,247.41958729776692,33.313732753915204,300.0
19.330000000000002,1.0,247.94820044671815,32.78407392901166,300.0
19.72,1.0,248.45782214724073,32.27341795899042,300.0
20.11,1.0,248.94946789528365,31.78074904911354,300.0
20.5,1.0,249.42408226536054,31.305122336797705,300.0
20.89,1.0,249.88254496068336,30.8456578448018,300.0
21.28,1.0,250.32567624812268,30.401535040001622,300.0
21.67,1.0,250.75424187547085,29.971987922805415,300.0
22.060000000000002,1.0,251.16895749353665,29.55630059533572,300.0
22.45,1.0,251.5704926751713,29.153803250676333,300.0
22.84,1.0,251.9594745438486,28.763868538691238,300.0
23.23,1.0,252.33649107184462,28.385908268764418,300.0
23.62,1.0,252.7020940757186,28.019370413865595,300.0
24.01,1.0,253.05680194448757,27.663736382115683,300.0
24.400000000000002,1.0,253.40110212389,27.31851853242567,300.0
24.79,1.0,253.7354533821267,26.983257906692444,300.0
25.18,1.0,254.06028788518367,26.6575221574518,300.0
25.57,1.0,254.376013088862,26.340903651636733,300.0
25.96,1.0,254.68301347854091,26.033017733835194,300.0
26.35,1.0,254.98165215957607,25.733501133861743,300.0
26.740000000000002,1.0,255.2722723206075,25.4420105031836,300.0
27.130000000000003,1.0,255.5551985780785,25.15822107122279,300.0
27.52,1.0,255.83073821409238,24.881825406666465,300.0
27.91,1.0,256.09918231525705,24.61253227776743,300.0
28.3,1.0,256.36080682513744,24.35006560058507,300.0
28.69,1.0,256.61587351533615,24.09416346775592,300.0
29.080000000000002,1.0,256.8646308820703,23.844577251053334,300.0
29.470000000000002,1.0,257.10731497769467,23.601070770545075,300.0
29.86,1.0,257.34415017731743,23.363419526493885,300.0
30.25,1.0,257.57534989403194,23.131409985888798,300.0
30.64,1.0,257.8011172382702,22.90483892101636,300.0
31.03,1.0,258.0216456329686,22.68351279572742,300.0
31.42,1.0,258.2371193829414,22.46724719428094,300.0
31.810000000000002,1.0,258.44771420776385,22.255866290575984,300.0
32.2,1.0,258.65359773393413,22.049202353332106,300.0
32.59,1.0,258.85492995706306,21.847095285871198,300.0
32.980000000000004,1.0,259.0518636709075,21.649392195954853,300.0
33.370000000000005,1.0,259.2445448677349,21.45594699526461,299.99999999999994
33.76,1.0,259.4331131134926,21.26662002450216,300.0
34.15,1.0,259.6177018976982,21.081277703413285,300.0
34.54,1.0,259.7984389607512,20.899792203382624,300.0
34.93,1.0,259.9754466000999,20.72204114064982,300.0
35.32,1.0,260.1488419575349,20.547907289464707,300.0
35.71,1.0,260.3187372889842,20.37727831246739,300.0
36.1,1.0,260.4852402157751,20.210046508430008,300.0
